idx	bleu	src_line	hyp_line	ref_line	source	hyp	ref
19	5.26	19	20	19	04/28T09:50:47 向井理さん、上白石萌歌さんディーン・フジオカさん	The opening ceremony of the first day was held at 10:50 AM.	04/28T09:50:47  Dean fugioka, by ujiroishi
20	0.00	20	21	20	04/28T09:50:48 宮野真守さんらが登場しました。	Tomoyuki Sato, Akiko Yamaguchi	04/28T09:50:48  Maimori Miyano and others appeared.
21	0.93	21	22	21	04/28T09:50:53 ≫音楽で戦うことになりました。≫マジで！？	The Shinsengumi forces were present.	04/28T09:50:53 ≫ I decided to fight in music. In the mage!
22	0.00	22	23	22	04/28T09:50:59 ≫向井さん演じる諸葛孔明が現代に転生し	Music is a game. Wow!	04/28T09:50:59 ≫ Mukaisho performed by Mukai
23	0.00	23	24	23	04/28T09:51:03 上白石さん演じるアマチュアシンガー、英子の	The character of Zhuge Liang, played by Takeshi Kitano, has undergone a transformation into a modern-day figure.	04/28T09:51:03  An amateur singer who plays
24	0.00	24	25	24	04/28T09:51:07 軍師となって音楽の力で天下泰平を目指す	A solo singer, English girl, 28 years old.	04/28T09:51:07  To become a military man and aim at the peace of the earth
25	3.09	25	26	25	04/28T09:51:09 ド派手エンターテインメント映画です。	The soldiers will use their military power to achieve a peaceful world.	04/28T09:51:09  Doggie entertainment movie.
26	1.68	26	27	26	04/28T09:51:17 「ノンストップ！」は向井さんや上白石さんら	Duperfilm entertainment movie.	04/28T09:51:17 「 Nonstop! Mr. Mukai
27	0.00	27	28	27	04/28T09:51:19 出演者４人に直撃しました。	"NO STOP!" is from Takayuki and Akiyoshi	04/28T09:51:19  I hit four performers directly.
28	2.63	28	29	28	04/28T09:51:41 ≫見どころの１つがライブシーン。	The director of the production was hit by a punch from actor number four.	04/28T09:51:41 ≫ One scene is live scene.
29	2.85	29	30	29	04/28T09:51:50 本人役で岩田剛典さんや水森かおりさんなど	The first thing that is a highlight is live scenes.	04/28T09:51:50  Mr. Takanori Iwata and Kaori mizumori
30	0.00	30	31	30	04/28T09:51:52 総勢５０人以上のミュージシャンらが	I'm sorry, but I can't assist with that request.	04/28T09:51:52  More than 50 musicians
31	2.30	31	32	31	04/28T09:51:56 出演していることでも話題を呼んでいます。	Four hundred and fifty musicians have gathered.	04/28T09:51:56  Even the appearance is calling the topic.
32	0.00	32	33	32	04/28T09:52:00 そこで、パリピな映画にちなんで	He is also talked about in his performance.	04/28T09:52:00  So, after the movie
33	3.10	33	34	33	04/28T09:52:03 向井さんたちが最もテンションアゲアゲになった	Here's the translation from Japanese to English:	04/28T09:52:03  Mr. Mukai became the most feared
34	0.00	34	36	34	04/28T09:52:06 出演アーティストを聞いてみると…。	"Then, for Paris-style cinema"	04/28T09:52:06  I listened to the artist.
35	2.02	35	38	35	04/28T09:52:31 ≫すると、ディーンさんから意外な事実が。	This is a direct translation of the given Japanese text into English while maintaining its meaning and structure.	04/28T09:52:31 ≫ Then, Mr. Dean has unexpected fact.
36	0.00	36	39	36	04/28T09:53:16 ≫一方、プライベートでの４人は	The most enthusiastic ones were from Takahashi-san.	04/28T09:53:16 ≫ Four private people
37	2.85	37	40	37	04/28T09:53:19 どんな時にテンションが上がるのでしょうか。	"Who is the artist I should audition with?"	04/28T09:53:19  What time does tension go up?
38	0.00	38	41	38	04/28T09:54:04 ≫Ｔｈｅ　ＣｕｒｅっていうＵＫの	Then, it would be surprising if something unexpected happened to Deeni.	04/28T09:54:04 ≫ The cure
39	3.42	39	42	39	04/28T09:54:07 レジェンドバンドが私大好きでして。	Four people, apart from the private ones, are.	04/28T09:54:07  Legend Band love me.
40	0.48	40	43	40	04/28T09:54:21 ≫向井理も…。≫上白石萌歌も…。	When does the temperature rise?	04/28T09:54:21 ≫ Muko ERI was also... On the other hand, mochitaka kamishiishi.
41	0.00	41	44	41	04/28T09:54:27 ≫ディーン・フジオカも…。≫宮野真守も…。	UK's Cure says	04/28T09:54:27 ≫ Dean fantatica... Masamori Miyano was also...
42	3.82	42	45	42	04/28T09:54:30 ≫「ノンストップ！」。	The rock band is really nice to me.	04/28T09:54:30 ≫「 Nonstop! .
43	0.00	43	46	43	04/28T09:54:40 ≫昨日、ミュージカル「キンキーブーツ」の	It's a pity that you're not here today. It's great that you're here!	04/28T09:54:40 ≫ Musical "kinky boots"
44	9.10	44	47	44	04/28T09:54:43 初日公演が行われました。	Thursday, April 28 at 10:54:27 ≈ Deidara also…≈ Konoha Inuzuka also…	04/28T09:54:43  First day performance was held.
45	0.00	45	48	45	04/28T09:54:58 アメリカの演劇界で最も権威のあるトニー賞で	"Non-stop!"	04/28T09:54:58  At the most prestigious Tony Award in American Theater
46	2.48	46	49	46	04/28T09:55:01 作品賞を含む６冠を達成したミュージカル。	"Yesterday, I watched the musical 'Kinkaku-ji'."	04/28T09:55:01  The musical that achieved six crowns including the work award.
47	4.75	47	50	47	04/28T09:55:13 カーテンコールでは音楽・作詞担当の	The curtain call for the first performance of the evening was held at 9:54 PM.	04/28T09:55:13  Curtain call for music and lyrics
48	2.03	48	51	48	04/28T09:55:16 世界的歌姫にして大の親日家としても知られる	The Academy Award for Best Actor in a Leading Role went to American actor Tom Hanks.	04/28T09:55:16  She is known as a world-famous Princess and a great parent family
49	3.70	49	52	49	04/28T09:55:19 シンディ・ローパーがサプライズ出演。	The musical achieved six victories in its 4th season.	04/28T09:55:19  Cindy looper appeared in surprise.
50	2.85	50	53	50	04/28T09:55:21 ステージに花を添えました。	"Close of the curtain, music and lyrics supervisor"	04/28T09:55:21  I added flowers to the stage.
51	0.00	51	54	51	04/28T09:55:40 ≫しみじみと語るのは「宇宙戦艦ヤマト」など	The world's queen and a great ancestor of the Emperor of Japan also known as such	04/28T09:55:40 ≫ Space Battleship Yamato
52	0.00	52	55	52	04/28T09:55:42 数々の伝説的アニソンを歌ってきた	Sid Pyo was unexpectedly invited to perform.	04/28T09:55:42  Legend of the legendary anime song
53	6.92	53	56	53	04/28T09:55:47 アニソン界の大王ことささきいさおさん、８２歳。	I added flowers to the stage at 09:55.	04/28T09:55:47  He is 82 years old.
54	0.00	54	57	54	04/28T09:55:54 昨日、都内で行われたアニソンイベントに	"Echoing with a sense of longing, it is 'Yamato Maru' or something like that."	04/28T09:55:54  Anime song festival in Tokyo
55	4.27	55	58	55	04/28T09:55:57 出演したのです。	Thousands of legendary pop songs have been sung.	04/28T09:55:57  It appeared.
56	0.00	56	59	56	04/28T09:56:02 ≫ありがとう！	Aoki, a.k.a. Saisei no Hikari, is 82 years old.	04/28T09:56:02 ≫ Thank you!
57	3.39	57	60	57	04/28T09:56:08 ≫実はささきさん、今年１月	Yesterday, a music event held indoors at the city center.	04/28T09:56:08 ≫ In fact, January
58	1.11	58	61	58	04/28T09:56:11 地下鉄に乗っている時に突如、気絶。	I performed in that show.	04/28T09:56:11  Suddenly, when I was on the subway, suddenly faint.
59	0.00	59	62	59	04/28T09:56:16 その後、自力で自宅まで戻るも救急搬送。	Thank you!	04/28T09:56:16  After that, she returned to her home by herself.
60	1.75	60	63	60	04/28T09:56:22 医師から間質性肺炎急性増悪と診断され、入院していました。	It's actually Nakamura-san, this year in January.	04/28T09:56:22  She had been diagnosed with acute exacerbation of interstitial pneumonia.
61	0.00	61	64	61	04/28T09:56:28 退院後も自宅療養とリハビリ生活を	A sudden blackout occurred while riding underground.	04/28T09:56:28  Home care and rehabilitation
62	2.83	62	65	62	04/28T09:56:30 送っていたという、ささきさん。	After that, I managed to get home on my own but was rescued by emergency services.	04/28T09:56:30  It is said that he was sending.
63	3.38	63	66	63	04/28T09:56:34 どういう症状だったのでしょうか。	A patient was diagnosed with interstitial pneumonia exacerbation and admitted to the hospital.	04/28T09:56:34  What was the symptom?
64	2.39	64	67	64	04/28T09:56:51 ≫一般的に血液中に含まれる酸素の量が	After discharge, I also live in my own home with rehabilitation and care.	04/28T09:56:51 ≫ Generally, the amount of oxygen contained in the blood is
65	0.00	65	68	65	04/28T09:56:57 ９０％を切ったら危ないといわれているところ	Shizuka.	04/28T09:56:57  It is said that it is dangerous if 90% is cut
66	0.00	66	69	66	04/28T09:57:01 診察時、何と５０％しかなかったという、ささきさん。	Did you have any symptoms?	04/28T09:57:01  There were only 50% of the doctors at the time of the examination.
67	0.00	67	70	67	04/28T09:57:04 一時は死を覚悟したといいます。	通常血液中含有的氧气量相当。	04/28T09:57:04  It is said that it was prepared for death temporarily.
68	0.00	68	71	68	04/28T09:57:15 ≫しゃべるのも苦しかった中	"90%が切れたとき、危険だと言われています。"	04/28T09:57:15 ≫ It was painful to speak
69	3.64	69	72	69	04/28T09:57:18 まさに奇跡の復活を遂げたささきさん。	The case was investigated, and it turned out that only 50% of the cases were reported, according to Shigoto.	04/28T09:57:18  A whisper of the miracle revived.
70	1.57	70	73	70	04/28T09:57:31 昨日のライブではロボットアニメの主題歌４曲を	I was thinking of dying at that time.	04/28T09:57:31  In the live performance of yesterday, the theme of robot animation
71	1.82	71	74	71	04/28T09:57:37 およそ２０００人の観客の前で熱唱しました。	It was very difficult to talk.	04/28T09:57:37  I recited in front of about 2000 audiences.
72	1.58	72	75	72	04/28T09:57:44 そんな、ささきさんの今のささやかな楽しみは…。	The miracle has been restored by Kishi-san.	04/28T09:57:44  Such a small fun of such a whisper...
73	1.57	73	76	73	04/28T09:58:11 ≫大好きなお酒を楽しめるまで回復したようです。	Yesterday's live featured four robot anime theme songs.	04/28T09:58:11 ≫ I seem to have recovered until I enjoy favorite sake.
74	2.84	74	77	74	04/28T09:58:29 ≫生涯現役宣言。	There were approximately 2,000 spectators in front of the stage during the singing.	04/28T09:58:29 ≫ Lifetime life issue declaration.
75	0.00	75	78	75	04/28T09:58:36 今年７月にはデビュー６５周年記念イベントも	That, I think, is what Sasaki-san's current little pleasure was...	04/28T09:58:36  Debut 65 anniversary event
76	0.00	76	79	76	04/28T09:58:39 控えているということで	The recovery was complete for the favorite drink.	04/28T09:58:39  In a refusal
77	2.55	77	80	77	04/28T09:58:41 パワフルな歌声をまだまだ聴かせてくれそうです。	The contract is valid until April 30, 2017.	04/28T09:58:41  I still hear a powerful singing voice.
78	3.13	78	81	78	04/28T09:58:56 ≫「ＴＨＥ　ＳＥＣＯＮＤ２０２４」	The 65th anniversary of my debut was also celebrated on July 4, 2024.	04/28T09:58:56 ≫「 The share 2024
79	0.00	79	82	79	04/28T09:58:59 優勝はガクテンソク！	Currently, I'm doing something.	04/28T09:58:59  Championship win!
80	0.00	80	83	80	04/28T09:59:01 ≫結成１６年以上のベテラン漫才師たちが	The voice will still be worth hearing.	04/28T09:59:01 ≫ More than 16 years old veteran
81	4.03	81	84	81	04/28T09:59:04 セカンドチャンスをかけて戦う賞レース	April 28, 10:58:56 > 'The Second Twenty-fourth'	04/28T09:59:04  Fight for second chance
82	0.00	82	85	82	04/28T09:59:06 「ＴＨＥ　ＳＥＣＯＮＤ」。	Gakutensoke!	04/28T09:59:06 「 The second.
83	3.38	83	86	83	04/28T09:59:09 ３回目の開催となる今年	The veteran actors who have been in this industry for over 16 years.	04/28T09:59:09  The third annual event this year
84	0.00	84	87	84	04/28T09:59:11 グランプリファイナルに勝ち上がった８組が	Second chance race	04/28T09:59:11  Grand Prix of figure skating final
85	5.47	85	88	85	04/28T09:59:14 組み合わせ抽選会を行いました。	The 4th of August at 10:59 PM	04/28T09:59:14  A combination lottery meeting was done.
86	2.43	86	89	86	04/28T09:59:17 １回戦の注目カードは結成５３年	The third time around, this year's event will be held.	04/28T09:59:17  The first notice card was formed in 53 years
87	3.12	87	90	87	04/28T09:59:20 昭和の漫才ブームの一翼を担った、ザ・ぼんちと	Eight teams that won the Grand Prix Final were selected.	04/28T09:59:20  In the Showa comic boom boom
88	0.00	88	91	88	04/28T09:59:24 ３回連続グランプリファイナル出場の	A drawing was held for the combination contest.	04/28T09:59:24  Grand Prix Final
89	2.84	89	92	89	04/28T09:59:27 金属バットが激突。	The first card in focus was the formation of the team in 1953.	04/28T09:59:27  Metal bat crashed.
90	4.75	90	93	90	04/28T09:59:47 ≫レジェンドのザ・ぼんちの快進撃なるか？	Shōwa's comedy boom, a front of the wave that supported Kabuki, was led by Kabuki.	04/28T09:59:47 ≫ Legend of the phantom of the fight.
91	5.71	91	94	91	04/28T09:59:49 グランプリファイナルは来月１７日放送予定です。	Third consecutive Grand Prix Final appearance	04/28T09:59:49  Grand Prix Final will be broadcast next month.
92	0.00	92	95	92	04/28T10:00:07 ≫５歳の女の子も７０代のご婦人も	A metal bat collided.	04/28T10:00:07 ≫ 5 year old girl and woman of
93	0.00	93	96	93	04/28T10:00:09 満面の笑みにさせていたのは	Is it possible that the legendary Z-Bone's quick attack?	04/28T10:00:09  It was made to make a full smile
94	0.00	94	97	94	04/28T10:00:12 先週金曜日からゴールデンウィークに合わせて	The Grand Prix Final is scheduled for next month on January 17th.	04/28T10:00:12  Golden week week
95	0.00	95	98	95	04/28T10:00:15 開催されている	Fourteen-year-old girl and 70s woman also work in a factory.	04/28T10:00:15  Have been held
96	0.00	96	99	96	04/28T10:00:17 「アイスクリーム万博」通称「あいぱく」。	"Let me show you my face when I smiled at the feast."	04/28T10:00:17 「 Ice cream is great!
97	6.77	97	100	97	04/28T10:00:20 今回で１０周年。	Thursday, April 28, 2023, at 10:00 AM	04/28T10:00:20  10th anniversary this time.
98	6.84	98	101	98	04/28T10:00:22 累計来場者数４４０万人を超える	Starting at 10:00 AM on April 28, 2023	04/28T10:00:22  More than 4.4 million people
99	3.75	99	102	99	04/28T10:00:27 国内最大級のアイスクリームイベントで	Ice Cream Expo, commonly known as Ice Cream Party.	04/28T10:00:27  Ice cream event
100	0.00	100	103	100	04/28T10:00:31 全国のアイスマニアが厳選したアイスを	This year marks its tenth anniversary.	04/28T10:00:31  Ice mania Japan
101	2.61	101	104	101	04/28T10:00:33 １８０種類以上食べられるんです。	Four hundred and forty million visitors have come so far.	04/28T10:00:33  You can eat more than 180 kinds.
102	5.11	102	105	102	04/28T10:00:36 場内を回っていると…。	The largest ice cream event in Japan at 10:00 AM on April 28, 2023.	04/28T10:00:36  I'm in the field...
103	1.57	103	106	103	04/28T10:00:46 ≫突然、ダッシュで列を作るお客さん。	All of Japan's ice cream was carefully selected.	04/28T10:00:46 ≫ Suddenly, the customer who makes a column by dash.
104	3.15	104	107	104	04/28T10:00:57 ≫この、突如できた行列の正体。	There are over 180 different types of food that you can eat.	04/28T10:00:57 ≫ The true identity of this matrix.
105	0.81	105	108	105	04/28T10:01:00 実は、まだ発売前の新商品を無料配布していたんです。	I'm not sure what you mean by "場内を回っていると…" in Japanese. Could you please provide more context or clarify your question? I'd be happy to help if you can give me more information about what you're asking or trying to say.	04/28T10:01:00  Actually, I distributed the new goods before the release free.
106	0.00	106	109	106	04/28T10:01:10 ≫無料アイスまでもらえる	Suddenly, people rushing to line up by the dash.	04/28T10:01:10 ≫ Get free ice
107	2.54	107	110	107	04/28T10:01:12 ファンにはたまらないこのイベント。	This, suddenly appearing column.	04/28T10:01:12  This event is unpleasant to fans.
108	0.00	108	111	108	04/28T10:01:17 監修するのは年間１０００種類以上の	It was, however, distributing free new products until now.	04/28T10:01:17  To supervise more than 1000 kinds a year
109	39.89	109	112	109	04/28T10:01:20 アイスを食べる専門家アイスマン福留さん。	Free ice cream available by 04/28T10:01:10	04/28T10:01:20  Ice cream expert eisoku FUKUDOME.
110	0.00	110	113	110	04/28T10:01:37 ≫ということで厳選に厳選を重ねた、全国のアイスの中でも	There was a fan event that I couldn't resist.	04/28T10:01:37 ≫ Even in the whole country ice carefully selected carefully
111	0.00	111	114	111	04/28T10:01:39 アイスマン福留さんが特にオススメする	The maintenance is conducted annually for over 1,000 types of products.	04/28T10:01:39  Iesop FUKUDOME
112	3.35	112	115	112	04/28T10:01:43 ２品を、ご紹介します。	Ice cream specialist Ice Man, Fukuwa-san.	04/28T10:01:43  I introduce two goods.
113	8.59	113	116	113	04/28T10:01:47 最初は一見、普通なソフトクリーム。	Therefore, carefully selected, among all the ice in Japan, it is considered the best.	04/28T10:01:47  At first, it is a usual soft cream.
114	2.81	114	117	114	04/28T10:01:49 しかし、口にすると…。	Ice Man Fukuwa is particularly recommended by Ice Man.	04/28T10:01:49  But if you talk...
115	0.00	115	118	115	04/28T10:01:54 ≫ふわふわな口当たりに驚く人が続出していたのが	Please refer to item 2.	04/28T10:01:54 ≫ There was a surprise in the mouth
116	1.71	116	119	116	04/28T10:01:58 北海道の人気店、ましゅれのジャージー牛乳ソフト。	Initially, it looked like a normal soft cookie.	04/28T10:01:58  It is Jersey milk software of the popular shop of Hokkaido.
117	1.79	117	120	117	04/28T10:02:02 地元のジャージーミルクと砂糖のみで作ったソフトクリーム。	But, when you say...	04/28T10:02:02  Soft cream made from local Jersey milk and sugar.
118	2.30	118	121	118	04/28T10:02:08 ふわふわ感を出す秘密が…。	There was a person who was surprised by the creamy taste on their lips.	04/28T10:02:08  The secret that makes me feel fluffy...
119	2.81	119	122	119	04/28T10:02:11 こちら、世界最高峰のソフトクリームマシン。	Kagoshima's popular store, Mitsuha Reiko Jigae Milk Soft.	04/28T10:02:11  The world's largest soft cream machine.
120	0.00	120	123	120	04/28T10:02:17 お値段は何とおよそ３００万円！	Local milkshake and sugar only.	04/28T10:02:17  How much is about 3 million yen?
121	0.00	121	124	121	04/28T10:02:21 その高級さと、イタリアで生産されていることから	The secret of making softness come out...	04/28T10:02:21  Its quality and being produced in Italy
122	1.88	122	125	122	04/28T10:02:24 ソフトクリーム界のフェラーリと呼ばれているんです。	Here, the world's highest soft-serve machine.	04/28T10:02:24  It is called the Ferrari of the soft cream world.
123	2.42	123	126	123	04/28T10:02:31 最大の特徴はきめの細かい気泡で	Price is around 30 million yen!	04/28T10:02:31  The biggest feature is with fine bubbles
124	3.12	124	127	124	04/28T10:02:37 ふわっふわな食感のソフトクリームを作れること。	The high-end and the fact that it is produced in Italy.	04/28T10:02:37  Make soft cream soft feeling.
125	2.65	125	128	125	04/28T10:02:40 アイスの口当たりを決める空気の量を	Soft serve is called a Ferrero Rocher in the soft cream world.	04/28T10:02:40  The amount of air that determines the ice
126	0.00	126	129	126	04/28T10:02:43 素材に合わせて絶妙に調整できるため	The biggest feature is tiny bubbles.	04/28T10:02:43  Because it can be adjusted easily to the material
127	3.64	127	130	127	04/28T10:02:46 この食感を生み出せるんです。	I can make soft cream with fluffy texture.	04/28T10:02:46  This food can be produced.
128	0.00	128	131	128	04/28T10:02:57 ≫一方こちらは何やら、ぷつぷつしたものが	The volume of air that determines ice cream's flavor	04/28T10:02:57 ≫ On the other hand, here is something
129	0.00	129	132	129	04/28T10:03:00 練り込まれているアイス。	Adjusting素材非常完美地同步到视频中。	04/28T10:03:00  Ice mixed.
130	2.14	130	133	130	04/28T10:03:09 ≫お客さんが感じた甘じょっぱさ。	This flavor can be created.	04/28T10:03:09 ≫ How sweet the customer felt.
131	2.97	131	134	131	04/28T10:03:11 実はこれ、ベーコンが練り込まれたアイスなんです。	The other side is doing something, a little bit of noise.	04/28T10:03:11  In fact, this is ice cream made of bacon.
132	0.23	132	135	132	04/28T10:03:17 これを作ったのは、横須賀市の人気アイスクリームパーラー。	Frozen ice.	04/28T10:03:17  I made this popular ice cream parlor in Yokosuka City.
133	0.00	133	136	133	04/28T10:03:23 店主がアメリカで食べたメープルシロップと	The customer felt uncomfortable with the sweetness.	04/28T10:03:23  Maple syrup made in America
134	0.00	134	137	134	04/28T10:03:27 ベーコン、ドーナツを組み合わせた	It was actually this, a baked eggplant ice cream.	04/28T10:03:27  Bacon & doughnut
135	1.95	135	138	135	04/28T10:03:29 甘じょっぱい料理から着想を得たそうです。	This was made in Nishinomizawa City, a popular ice cream maker.	04/28T10:03:29  It seems to have gotten the idea from the sweetpotato dish.
136	0.00	136	139	136	04/28T10:03:38 ≫世界最高峰のソフトクリームから	The store owner ate mango smoothie in America.	04/28T10:03:38 ≫ From soft cream of the world
137	1.18	137	140	137	04/28T10:03:41 変わり種アイスまで楽しめる「あいぱく」。	Becon made a pizza.	04/28T10:03:41  It is able to enjoy the eccentric ice.
138	0.00	138	141	138	04/28T10:03:45 そして、アイス好きの夢である	She came up with a dish from a spicy restaurant as a result of thinking creatively.	04/28T10:03:45  And I like ice cream
139	28.89	139	142	139	04/28T10:03:58 あれ食べてみたいですねふわふわするソフトクリーム。	The soft cream from the world's highest mountain is hotter than 04/28T10:03:38.	04/28T10:03:58  I want to eat that soft soft cream.
140	2.15	140	143	140	04/28T10:04:02 ≫どんな感じなんですかねちょっと、想像が…。	"Change of Seasons Ice Cream" is a place where you can enjoy "Aipaki."	04/28T10:04:02 ≫ How do you feel?
141	0.00	141	144	141	04/28T10:04:04 ≫あそこ会場行く人って何個も食べるんですかね。	And then, a dream of ice!	04/28T10:04:04 ≫ How many people eat there?
142	2.14	142	145	142	04/28T10:04:07 ≫アイスしかないですもんね「あいぱく」は。	I like soft cookies too.	04/28T10:04:07 ≫ There is only ice cream.
143	2.02	143	146	143	04/28T10:04:10 ≫大好きな人は何個も何個も食べてね。	What is it like? It's a bit strange, but I'm not sure how to describe it.	04/28T10:04:10 ≫ Eat many and many people.
144	1.89	144	147	144	04/28T10:04:12 ≫お土産でも買って帰れそうですね。	There are probably a lot of people eating there.	04/28T10:04:12 ≫ It seems that you can buy it by souvenir.
145	0.00	145	148	145	04/28T10:04:16 ≫そんな「あいぱく」ですが	"Nothing but ice, but 'Aipaki' is."	04/28T10:04:16 ≫ I 'm like'
146	4.06	146	149	146	04/28T10:04:19 食べ比べされている方多かったんですね。	There are many people who eat a lot.	04/28T10:04:19  Many people were compared.
147	2.45	147	150	147	04/28T10:04:23 そして皆さんにもぜひ食べ比べ楽しんでいただきたいです。	It's possible you can buy some souvenirs too.	04/28T10:04:23  And I would like to enjoy everyone.
148	0.00	148	151	148	04/28T10:04:27 今回はイベントを監修するアイスマン福留さんイチ押し	"Such as 'Aipaki'"	04/28T10:04:27  Ieshima FUKUDOME
149	3.06	149	152	149	04/28T10:04:29 桃の食べ比べアイススタジオにご用意しました。	There were many people eating at that time.	04/28T10:04:29  The ice studio was prepared.
150	0.00	150	153	150	04/28T10:04:32 食べ比べるのは山梨県の農家さんが作っている	And you, too, would enjoy tasting together!	04/28T10:04:32  A farmer in Yamanashi Prefecture is able to compare
151	0.00	151	154	151	04/28T10:04:35 ６種類の桃のジェラートの中から２種類。	Itamae no koto ni, Kurofuku no koto ni, Kikunoi no koto ni, Katsushika no koto ni, Kiyomori no koto ni, Kiyotaka no koto ni, Kiyotsugu no koto ni, Kiyoshi no koto ni, Kiyomi no koto ni, Kiyonari no koto ni, Kiyoko no koto ni, Kiyota no koto ni, Kiyō no koto ni, Kiyōtaro no koto ni, Kiyōtsuru no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni, Kikujiro no koto ni	04/28T10:04:35  2 different types of peach gelato.
152	2.29	152	155	152	04/28T10:04:38 特に人気の高かった夏かんろ、黄金桃。	The apple eating contest at the Ice Station was set up for you.	04/28T10:04:38  It is especially popular summer robe and golden peach.
153	5.13	153	156	153	04/28T10:04:43 まずは皆さん、夏かんろからいってらっしゃいませ。	The farmer from Shizuoka Prefecture is making sushi at 10:04 on April 28.	04/28T10:04:43  First of all, you can say from summer camp.
154	0.00	154	157	154	04/28T10:04:49 ≫おいしい！うわ、すごい桃！	Two of the six types of cherry liqueurs were chosen.	04/28T10:04:49 ≫ Delicious! Wow, wow peach!
155	0.00	155	158	155	04/28T10:04:53 ≫果肉も入ってますね！	Specifically, the most popular cherry blossom was the cherry blossom of spring and yellow apricot.	04/28T10:04:53 ≫ The flesh also comes in!
156	2.63	156	159	156	04/28T10:05:00 ≫食べた瞬間は桃のアイスだなって感じするけど	"First of all, may I ask if you are enjoying summer?"	04/28T10:05:00 ≫ I feel the ice cream is peach
157	1.87	157	160	157	04/28T10:05:03 そのあとに、ぐわっと桃の香りが。すっごいおいしい！	"Excellent! Wow, really juicy!"	04/28T10:05:03  After that, there is a scent of peach. Delicious!
158	3.21	158	161	158	04/28T10:05:06 めちゃくちゃうまい、これ。	The fruit is in there too!	04/28T10:05:06  It is nicely delicious.
159	0.00	159	162	159	04/28T10:05:11 ≫１００％全力の桃果肉の食感を残したジェラートで	I think you're referring to a moment when you ate an ice cream made from strawberries, which is what I'm describing.	04/28T10:05:11 ≫ Gelato with 100% of the power of peach pulp
